#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2A7DF
#Date Time: 2022-04-09 22:30:52.302
#Sample rate: 800Hz
#Samples: 10301
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-163.59625,3.31519282203876,-0.001319543970979598
-163.595,3.311560985064772,-0.001319543970979598
-163.59375,3.311560985064772,-0.001319543970979598
-163.5925,3.311560985064772,-0.001319543970979598
-163.59125,3.311560985064772,-0.001319543970979598
-163.59,3.311560985064772,-0.001319543970979598
-163.58875,3.311560985064772,-0.001319543970979598
-163.5875,3.311560985064772,-0.001319543970979598
-163.58625,3.311560985064772,-0.001319543970979598
-163.585,3.311560985064772,-0.001319543970979598
-163.58375,3.311560985064772,-0.001319543970979598
-163.5825,3.311560985064772,-0.001319543970979598
-163.58125,3.311560985064772,-0.001319543970979598
-163.58,3.311560985064772,-0.001319543970979598
-163.57875,3.311560985064772,-0.001319543970979598
-163.5775,3.311560985064772,-0.001319543970979598
-163.57625,3.311560985064772,-0.001319543970979598
-163.575,3.311560985064772,-0.001319543970979598
-163.57375,3.311560985064772,-0.001319543970979598
-163.5725,3.311560985064772,-0.001319543970979598
-163.57125,3.311560985064772,-0.001319543970979598
-163.57,3.311560985064772,-0.001319543970979598
-163.56875,3.311560985064772,-0.001319543970979598
-163.5675,3.311560985064772,-0.001319543970979598
-163.56625,3.311560985064772,-0.001319543970979598
-163.565,3.311560985064772,-0.001319543970979598
-163.56375,3.311560985064772,-0.001319543970979598
-163.5625,3.311560985064772,-0.001319543970979598
-163.56125,3.311560985064772,-0.001319543970979598
-163.56,3.311560985064772,-0.001319543970979598
-163.55875,3.311560985064772,-0.001319543970979598
-163.5575,3.311560985064772,-0.001319543970979598
-163.55625,3.311560985064772,-0.001319543970979598
-163.555,3.311560985064772,-0.001319543970979598
-163.55375,3.311560985064772,-0.001319543970979598
-163.5525,3.311560985064772,-0.001319543970979598
-163.55125,3.311560985064772,-0.001319543970979598
-163.55,3.311560985064772,-0.001319543970979598
-163.54875,3.311560985064772,-0.001319543970979598
-163.5475,3.311560985064772,-0.001319543970979598
-163.54625,3.311560985064772,-0.001319543970979598
-163.545,3.311560985064772,-0.001319543970979598
